,pdfsize,metadata size,pages,xref Length,title characters,images,text,obj,endobj,stream,endstream,xref,trailer,startxref,pageno,JS,Javascript,OpenAction
5390,67.0,435.0,4.0,246.0,68.0,0.0,1.0,245.0,245.0,223.0,223.0,2.0,2.0,7,4.0,0.0,0.0,0.0
10577,46.0,334.36839317073674,1.6316068292632613,30.631606829263262,8.0,0.0,1.0,29.631606829263262,29.631606829263262,8.63160682926326,8.63160682926326,1.0,1.0,2,1.6316068292632613,0.0,0.0,0.0
8281,2881.0,464.0,23.0,1017.0,17.0,109.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
4675,9.0,180.0,1.0,9.0,0.0,0.0,0.0,29.0,29.0,6.0,6.0,0.0,0.0,2,1.0,0.0,0.0,0.0
6117,70.0,262.0,1.0,21.0,0.0,1.0,0.0,28.0,28.0,16.0,16.0,2.0,2.0,7,1.0,0.0,0.0,0.0
957,9.0,180.0,1.0,9.0,0.0,0.0,0.0,10.0,10.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
6982,33.0,260.0,1.0,12.0,0.0,1.0,0.0,32.0,32.0,29.0,29.0,0.0,0.0,7,1.0,0.0,0.0,0.0
8117,82.0,276.0,1.0,107.0,0.0,1.0,1.0,150.0,150.0,45.0,45.0,4.0,4.0,10,14.0,0.0,0.0,0.0
5527,74.0,282.0,2.0,27.0,0.0,2.0,1.0,26.0,26.0,13.0,13.0,2.0,2.0,7,2.0,0.0,0.0,0.0
10958,25.420357070791546,260.0,1.0,12.0,0.0,1.0,0.0,25.09734689759517,25.09734689759517,14.90265310240483,14.90265310240483,1.548673448797585,1.548673448797585,7,1.2256632756012076,0.0,0.0,0.0
2613,8.0,180.0,1.0,11.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
7511,33.0,343.0,1.0,49.0,20.0,0.0,1.0,232.0,232.0,119.0,119.0,10.0,10.0,14,2.0,1.0,1.0,0.0
2756,12.0,180.0,1.0,77.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,0.0,1.0,1,1.0,1.0,2.0,0.0
8879,132.0,273.0,16.0,112.0,0.0,0.0,1.0,67.0,67.0,49.0,49.0,0.0,0.0,7,16.0,0.0,0.0,0.0
48,7.0,180.0,1.0,11.0,0.0,0.0,0.0,13.0,13.0,2.0,2.0,1.0,1.0,2,1.0,2.0,3.0,1.0
3813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,8.0,7.0,2.0,2.0,1.0,1.0,2,69.0,2.0,1.0,0.0
1379,10.0,256.0,1.0,16.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
4434,4.0,300.0,1.0,15.0,0.0,0.0,0.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
9162,102.0,283.0,1.0,32.0,0.0,14.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
9713,11.0,229.0,5.0,26.0,0.0,0.0,1.0,44.0,44.0,11.0,11.0,1.0,1.0,2,11.0,0.0,0.0,0.0
1903,16.0,255.0,1.0,16.0,2.0,-1.0,2.0,9.0,9.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0
5585,37.0,408.0,1.0,32.0,54.0,0.0,1.0,31.0,31.0,5.0,5.0,2.0,2.0,7,1.0,0.0,0.0,1.0
10270,162.1404873611088,304.0,3.9297563194456044,112.8595126388912,0.0,0.0,1.0,109.9297563194456,109.9297563194456,17.929756319445605,17.929756319445605,2.0,2.0,7,3.9297563194456044,0.0,0.0,0.0
3618,1.0,180.0,1.0,8.0,0.0,0.0,1.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
11011,349.8413174110271,361.381455845473,5.532980908168913,1096.0806039378576,35.579341294486454,0.6381455845472982,1.0,1532.848474937304,1532.848474937304,158.2013006776691,158.2013006776691,5.190727922736491,5.190727922736491,12,13.19072792273649,0.0,0.0,0.3618544154527018
4286,8.0,180.0,1.0,11.0,0.0,0.0,0.0,11.0,11.0,2.0,2.0,1.0,1.0,2,2.0,1.0,2.0,0.0
10162,71.4987380604658,262.0,1.0,21.0,0.0,1.0,0.0,11.0,11.0,3.0,3.0,2.0,2.0,7,1.0,0.0,0.0,0.0
766,17.0,270.0,1.0,10.0,14.0,0.0,0.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
2027,15.0,411.0,6.0,23.0,14.0,0.0,0.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
9907,4.0,371.0,2.0,13.0,11.0,0.0,1.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
9891,78.0,374.0,1.0,16.0,16.0,-1.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0
1954,129.0,180.0,1.0,12.0,0.0,0.0,1.0,9.0,9.0,3.0,3.0,1.0,1.0,2,1.0,1.0,1.0,1.0
4643,81.0,180.0,1.0,9.0,0.0,0.0,0.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
7400,67.0,352.0,5.0,369.0,17.0,0.0,1.0,49.0,49.0,27.0,27.0,0.0,0.0,2,0.0,0.0,0.0,0.0
3005,56.0,256.0,1.0,69.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2,0.0,1.0,1.0,1.0
9205,25.0,298.0,1.0,12.0,0.0,1.0,0.0,24.0,24.0,12.0,12.0,2.0,2.0,7,1.0,0.0,0.0,0.0
6084,82.0,262.0,1.0,21.0,0.0,1.0,0.0,31.0,31.0,11.0,11.0,2.0,2.0,7,5.0,0.0,0.0,0.0
2510,7.0,243.0,1.0,10.0,7.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,1.0
10189,72.20070758877299,283.19952827415136,1.7001179314621635,25.50058965731082,0.0,1.7001179314621635,0.7001179314621635,26.299882068537837,26.299882068537837,13.599764137075674,13.599764137075674,2.0,2.0,7,1.7001179314621635,0.0,0.0,0.0
10803,91.99263280751396,317.14734384972087,10.494474605635467,1318.0957735023185,8.02946876994417,0.0,1.0,122.4981582018785,122.4981582018785,71.14734384972085,71.14734384972085,0.9963164037569787,0.9963164037569787,7,18.465005835691297,0.0,0.0,0.0
10917,84.73405111787962,263.35956932927223,1.0,21.0,0.0,1.0,0.0,40.90637955284815,40.90637955284815,37.90637955284815,37.90637955284815,0.0,0.0,7,1.0,0.0,0.0,0.0
7292,399.0,285.0,16.0,1327.0,0.0,10.0,1.0,115.0,114.0,58.0,58.0,2.0,2.0,7,13.0,0.0,0.0,0.0
5919,62.0,387.0,2.0,85.0,20.0,0.0,1.0,37.0,37.0,12.0,12.0,6.0,6.0,12,4.0,0.0,0.0,0.0
755,2.0,226.0,1.0,10.0,0.0,0.0,0.0,19.0,19.0,9.0,9.0,1.0,1.0,2,1.0,0.0,0.0,0.0
6203,67.0,265.0,1.0,21.0,0.0,1.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
2487,35.0,180.0,1.0,16.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,0.0,1.0,1,1.0,1.0,2.0,0.0
9193,24.0,298.0,1.0,13.0,0.0,1.0,0.0,34.0,34.0,22.0,22.0,2.0,2.0,7,1.0,0.0,0.0,0.0
2145,15.0,224.0,0.0,20.0,7.0,0.0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,2,1.0,0.0,0.0,0.0
3269,16.0,180.0,1.0,10.0,0.0,0.0,0.0,9.0,9.0,2.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0
8887,142.0,295.0,25.0,100.0,31.0,0.0,1.0,99.0,99.0,25.0,25.0,1.0,1.0,2,25.0,0.0,0.0,0.0
9327,28.0,298.0,1.0,12.0,0.0,1.0,0.0,22.0,22.0,10.0,10.0,2.0,2.0,7,1.0,0.0,0.0,0.0
7957,72.0,343.0,2.0,314.0,14.0,0.0,1.0,51.0,51.0,45.0,45.0,0.0,0.0,10,2.0,0.0,0.0,0.0
7275,33.0,305.0,1.0,197.0,6.0,5.0,1.0,92.0,92.0,56.0,56.0,2.0,2.0,7,3.0,0.0,0.0,0.0
8707,330.0,359.0,4.0,103.0,29.0,5.0,1.0,365.0,365.0,28.0,28.0,5.0,5.0,13,9.0,0.0,0.0,0.0
8132,42.0,572.0,4.0,246.0,87.0,0.0,1.0,31.0,31.0,5.0,5.0,1.0,1.0,2,5.0,0.0,0.0,0.0
10091,83.88646116457328,271.7161529114332,1.0,21.0,0.0,1.0,0.0,51.25546237971014,51.25546237971014,39.25546237971014,39.25546237971014,2.0,2.0,7,1.0,0.0,0.0,0.0
5680,38.0,299.0,2.0,27.0,8.0,0.0,1.0,26.0,26.0,5.0,5.0,1.0,1.0,2,2.0,0.0,0.0,0.0
10634,159.21850475833813,435.2325827232218,1.0,58.962218521208186,30.511851756954055,0.0,1.0,342.6874019033352,342.6874019033352,41.73926134701077,41.73926134701077,2.0,2.0,7,2.0,1.0,2.0,0.0
5461,92.0,262.0,1.0,21.0,0.0,1.0,0.0,6.0,6.0,2.0,2.0,1.0,1.0,2,1.0,0.0,0.0,0.0
2722,14.0,180.0,1.0,15.0,0.0,0.0,0.0,8.0,8.0,2.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0
7925,75.0,367.0,2.0,353.0,16.0,0.0,1.0,75.0,75.0,68.0,68.0,0.0,0.0,12,3.0,0.0,0.0,0.0
3268,250.0,180.0,1.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0
8640,388.0,354.0,33.0,373.0,34.0,3.0,1.0,369.0,369.0,56.0,56.0,2.0,2.0,7,36.0,0.0,0.0,0.0
758,14.0,224.0,0.0,20.0,7.0,0.0,0.0,21.0,21.0,11.0,11.0,1.0,1.0,2,1.0,5.0,6.0,0.0
10235,60.67119887895688,389.74511708528786,3.268479551582751,51.86576022420862,76.79184201787763,0.0,1.0,50.86576022420862,50.86576022420862,19.79184201787762,19.79184201787762,2.0,2.0,7,3.268479551582751,0.0,0.0,0.0
8866,187.0,304.0,3.0,81.0,0.0,0.0,1.0,79.0,79.0,15.0,15.0,2.0,2.0,7,3.0,0.0,0.0,0.0
7734,331.0,365.0,3.0,1856.0,33.0,0.0,1.0,84.0,84.0,76.0,76.0,0.0,0.0,13,4.0,0.0,0.0,0.0
4036,54.0,310.0,0.0,56.0,22.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0
